
,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,,Tm,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPos,FantPt,VBD,PosRank,OvRank
65,Jason Witten*,DAL,32,16,16,0,0,0,0,0,0,0,,0,90,64,703,10.98,5,TE,100,10,10,65
66,Andre Williams,NYG,22,16,7,0,0,0,0,0,217,721,3.32,7,37,18,130,7.22,0,RB,127,8,20,66
67,Eric Decker,NYJ,27,15,15,0,0,0,0,0,0,0,,0,115,74,962,13.00,5,WR,126,5,28,67
68,Eli Manning,NYG,33,16,16,379,601,4410,30,14,12,31,2.58,1,0,0,0,,0,QB,270,4,10,68
69,Fred Jackson,BUF,33,14,9,0,1,0,0,0,141,525,3.72,2,90,66,501,7.59,1,RB,123,3,21,69
70,Steven Jackson,ATL,31,15,15,0,0,0,0,0,190,707,3.72,6,27,20,148,7.40,0,RB,122,2,22,70
71,Heath Miller,PIT,32,16,16,0,0,0,0,0,0,0,,0,91,66,761,11.53,3,TE,92,2,11,71
72,Jonathan Stewart,CAR,27,13,8,0,0,0,0,0,175,809,4.62,3,31,25,181,7.24,1,RB,121,2,23,72
73,Mohamed Sanu,CIN,25,16,13,3,3,79,1,0,7,51,7.29,0,98,56,790,14.11,5,WR,123,2,29,73
74,Tony Romo*,DAL,34,15,15,304,435,3705,34,9,26,61,2.35,0,0,0,0,,0,QB,266,1,11,74
75,Malcom Floyd,SDG,33,16,16,0,0,0,0,0,0,0,,0,92,52,856,16.46,6,WR,122,,30,75
76,Philip Rivers,SDG,33,16,16,379,570,4286,31,18,37,102,2.76,0,0,0,0,,0,QB,266,,12,76
77,Larry Donnell,NYG,26,16,12,0,0,0,0,0,0,0,,0,92,63,623,9.89,6,TE,90,,12,77
78,Tre Mason,STL,21,12,9,0,0,0,0,0,179,765,4.27,4,26,16,148,9.25,1,RB,119,,24,78
79,Joe Flacco,BAL,29,16,16,344,554,3986,27,12,39,70,1.79,2,0,0,0,,0,QB,262,,13,
80,Jay Cutler,CHI,31,15,15,370,561,3812,28,18,39,191,4.90,2,0,0,0,,0,QB,256,,14,
81,Colin Kaepernick,SFO,27,16,16,289,478,3369,19,10,104,639,6.14,1,0,0,0,,0,QB,251,,15,
82,Matthew Stafford*,DET,26,16,16,363,602,4257,22,12,43,93,2.16,2,0,0,0,,0,QB,250,,16,
83,Cam Newton,CAR,25,14,14,262,448,3127,18,12,103,539,5.23,5,0,0,0,,0,QB,245,,17,
84,Alex Smith,KAN,30,15,15,303,464,3265,18,6,49,254,5.18,1,0,0,0,,0,QB,224,,18,
85,Andy Dalton*,CIN,27,16,16,309,481,3398,19,17,60,169,2.82,4,1,1,18,18.00,1,QB,223,,19,
86,Derek Carr,OAK,23,16,16,348,599,3270,21,12,29,92,3.17,0,1,0,0,,0,QB,192,,20,
87,Teddy Bridgewater,MIN,22,13,12,259,402,2919,14,12,47,209,4.45,1,0,0,0,,0,QB,180,,22,
88,Ryan Fitzpatrick,HOU,32,12,12,197,312,2483,17,8,50,184,3.68,2,0,0,0,,0,QB,180,,21,
89,Kyle Orton,BUF,32,12,12,287,447,3018,18,10,15,14,0.93,1,0,0,0,,0,QB,176,,23,
,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,,Tm,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPos,FantPt,VBD,PosRank,OvRank
90,Blake Bortles,JAX,23,14,13,280,475,2908,11,17,56,419,7.48,0,0,0,0,,0,QB,174,,24,
91,Brian Hoyer,CLE,29,14,13,242,438,3326,12,13,24,39,1.63,0,0,0,0,,0,QB,159,,25,
92,Geno Smith,NYJ,24,14,13,219,367,2525,13,13,59,238,4.03,1,1,0,0,,0,QB,157,,26,
