
Rk,Name,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
83,Jerricho Cotchery,CAR,32,WR,15,13,78,48,580,12.1,1,47,3.2,38.7,0
84,Owen Daniels,BAL,32,TE,15,13,79,48,527,11.0,4,39,3.2,35.1,0
85,Allen Robinson,JAX,21,WR,10,8,81,48,548,11.4,2,54,4.8,54.8,0
86,Miles Austin,CLE,30,WR,12,11,73,47,568,12.1,2,31,3.9,47.3,0
87,Scott Chandler,BUF,29,te,16,5,70,47,497,10.6,3,37,2.9,31.1,0
88,Michael Floyd,ARI,25,WR,16,14,99,47,841,17.9,6,63,2.9,52.6,4
89,Andre Holmes,OAK,26,WR,16,13,99,47,693,14.7,4,77,2.9,43.3,0
Rk,,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
90,Andre Ellington,ARI,25,RB,12,12,64,46,395,8.6,2,81,3.8,32.9,2
91,Benny Cunningham,STL,24,,16,2,52,45,352,7.8,1,19,2.8,22.0,2
92,Pierre Thomas,NOR,30,,11,3,55,45,378,8.4,1,39,4.1,34.4,0
93,Matt Asiata,MIN,27,TB,15,9,63,44,312,7.1,1,41,2.9,20.8,1
94,Justin Forsett*,BAL,29,RB,16,14,59,44,263,6.0,0,26,2.8,16.4,2
95,Giovani Bernard,CIN,23,RB,13,9,59,43,349,8.1,2,46,3.3,26.8,0
96,Julius Thomas*,DEN,26,TE,13,10,62,43,489,11.4,12,35,3.3,37.6,1
97,Roy Helu,WAS,26,,14,0,47,42,477,11.4,2,55,3.0,34.1,2
98,Eddie Lacy,GNB,24,RB,16,16,55,42,427,10.2,4,67,2.6,26.7,3
99,Jarius Wright,MIN,25,wr,16,7,62,42,588,14.0,2,87,2.6,36.8,0
100,Chris Hogan,BUF,26,,16,2,61,41,426,10.4,4,31,2.6,26.6,2
101,Reggie Bush,DET,29,RB,11,9,56,40,253,6.3,0,28,3.6,23.0,1
102,Jamaal Charles*,KAN,28,RB,15,15,59,40,291,7.3,5,30,2.7,19.4,5
103,Darren Sproles*,PHI,31,,15,0,62,40,387,9.7,0,57,2.7,25.8,4
104,Nate Washington,TEN,31,WR,16,11,72,40,647,16.2,2,80,2.5,40.4,0
105,Brian Hartline,MIA,28,WR,16,16,63,39,474,12.2,2,35,2.4,29.6,0
106,Niles Paul,WAS,25,te,16,7,52,39,507,13.0,1,50,2.4,31.7,1
