
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
122,Chase Blackburn,CAR,31,,6,2,,,,,,1,0,0,0,0,,8,4,
123,Will Blackmon,JAX,30,,8,4,,,,,,1,0,0,0,0,1.0,23,7,
124,Antwon Blake,PIT,24,,16,1,1,0,0,0,6,1,0,1,0,0,,38,5,
125,Robert Blanton,MIN,25,SS,15,13,1,1,0,1,3,0,0,1,0,0,,71,34,
126,Alfred Blue,HOU,23,,16,3,,,,,,0,0,2,0,0,,3,1,
127,Kenneth Boatright,DAL,24,,1,0,,,,,,,,,,,,1,0,
128,Russell Bodine,CIN,22,C,16,16,,,,,,,,,,,,0,1,
129,Tommy Bohanon,NYJ,24,,4,2,,,,,,,,,,,,1,0,
130,Brandon Bolden,NWE,24,,16,2,,,,,,1,0,0,0,0,,6,2,
131,Omar Bolden,DEN,26,,15,0,,,,,,0,0,1,0,0,,18,3,
132,Anquan Boldin,SFO,34,WR,16,16,,,,,,,,,,,,2,0,
133,Clint Boling,CIN,25,LG,16,16,,,,,,0,0,2,0,0,,3,0,
134,Kevin Boothe,OAK,31,,9,0,,,,,,0,0,1,0,0,,,,
135,Chris Borland,SFO,24,RILB,14,8,2,12,0,12,5,0,0,1,0,0,1.0,84,23,
136,Blake Bortles,JAX,23,QB,14,13,,,,,,0,7,3,-6,0,,2,0,
137,Matthew Bosher,ATL,27,,16,0,,,,,,,,,,,,5,0,
138,Jonathan Bostic,CHI,23,LLB,13,8,0,0,0,0,3,,,,,,,58,25,
139,Brandon Bostick,GNB,25,,13,0,,,,,,,,,,,,3,2,
140,Tre Boston,CAR,22,fs,11,5,1,84,1,84,4,,,,,,,22,9,
141,A.J. Bouye,HOU,23,lcb,14,6,3,120,1,67,10,1,0,1,0,0,,52,7,
142,Luke Bowanko,JAX,23,C,16,14,,,,,,0,0,1,0,0,,1,0,
143,Dwayne Bowe,KAN,30,WR,15,15,,,,,,0,2,1,0,0,,,,
144,Stephen Bowen,WAS,30,,8,3,0,0,0,0,1,,,,,,,10,1,
145,Da'Quan Bowers,TAM,24,,11,2,0,0,0,0,1,0,0,1,0,0,1.5,11,10,
146,Zackary Bowman,NYG,30,rcb,16,5,2,25,0,18,6,0,0,1,6,0,,19,5,
147,Josh Boyd,GNB,25,,15,4,0,0,0,0,1,,,,,,,10,12,
148,Brandon Boykin,PHI,24,,16,0,1,0,0,0,9,1,0,0,0,0,,36,5,
149,Jarrett Boykin,GNB,25,,13,3,,,,,,2,0,0,0,0,,4,1,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
150,Brett Brackett,2TM,27,,8,4,,,,,,,,,,,,1,0,
151,Nigel Bradham,BUF,25,RLB,14,14,1,0,0,0,7,2,0,0,0,0,2.5,66,38,
152,Ahmad Bradshaw,IND,28,,10,1,,,,,,0,3,3,12,0,,1,0,
153,Tom Brady*,NWE,37,QB,16,16,,,,,,0,6,1,-4,0,,1,0,
154,Bryan Braman,PHI,27,,16,0,,,,,,,,,,,,6,0,
155,Alan Branch,NWE,30,,8,2,0,0,0,0,1,,,,,,,14,6,
