
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
540,Ladarius Green,SDG,24,,14,4,,,,,,,,,,,,4,0,
541,Virgil Green,DEN,26,TE,13,9,,,,,,,,,,,,3,2,
542,Khaseem Greene,CHI,25,,10,2,,,,,,,,,,,,12,5,
543,Chad Greenway,MIN,31,LLB,12,12,0,0,0,0,3,1,0,0,0,0,1.0,56,37,
544,Jermaine Gresham,CIN,26,TE,15,15,,,,,,0,3,2,0,0,,,,
545,Everson Griffen,MIN,27,RDE,16,16,0,0,0,0,3,1,0,0,0,0,12.0,39,17,
546,Michael Griffin,TEN,29,FS,16,16,2,12,0,12,5,,,,,,3.0,85,27,
547,Robert Griffin,WAS,24,qb,9,7,,,,,,0,9,3,-7,0,,,,
548,Ryan Griffin,HOU,24,,16,2,,,,,,,,,,,,2,0,
549,Brent Grimes*,MIA,31,LCB,16,16,5,80,1,32,13,1,0,0,0,0,,48,10,
550,Jonathan Grimes,HOU,25,,16,0,,,,,,,,,,,,5,1,
551,Quentin Groves,TEN,30,,16,3,,,,,,,,,,,1.0,16,2,
552,Letroy Guion,GNB,27,NT,16,16,0,0,0,0,1,1,0,0,0,0,3.5,26,15,
553,Lawrence Guy,BAL,24,,11,1,0,0,0,0,1,0,0,1,6,0,,2,15,
554,Winston Guy,2TM,24,,7,3,0,0,0,0,1,,,,,,1.0,10,4,
555,Joe Haden*,CLE,25,LCB,15,15,3,0,0,0,20,1,0,2,34,0,,58,15,
556,Derek Hagan,TEN,30,,16,3,,,,,,,,,,,,4,1,
557,Ra'Shede Hageman,ATL,24,,16,0,,,,,,,,,,,1.0,12,4,
558,Saalim Hakim,NYJ,24,,16,0,,,,,,,,,,,,4,4,
559,Andre Hal,HOU,22,,14,0,0,0,0,0,4,,,,,,,18,3,
560,Tamba Hali*,KAN,31,LILB,16,16,,,,,,3,0,1,0,0,6.0,47,12,
561,DeAngelo Hall,WAS,31,,3,3,,,,,,1,0,1,17,0,,12,4,
562,Leon Hall,CIN,30,RCB,15,15,1,-3,0,-3,8,,,,,,,49,20,
563,Frankie Hammond,KAN,24,,16,3,,,,,,,,,,,,1,0,
564,Johnathan Hankins,NYG,22,RDT,16,16,0,0,0,0,3,1,0,0,0,0,7.0,30,21,
565,James Hanna,DAL,25,TE,16,12,,,,,,,,,,,,9,0,
566,Parys Haralson,NOR,30,ROLB,16,12,,,,,,0,0,1,0,0,3.0,23,13,
567,Clay Harbor,JAX,27,TE,13,8,,,,,,,,,,,,2,1,
568,Greg Hardy,CAR,26,,1,1,,,,,,1,0,0,0,0,1.0,3,1,
569,Cory Harkey,STL,24,RB,16,13,,,,,,0,0,1,0,0,,2,1,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
570,Duron Harmon,NWE,23,,16,0,1,60,0,60,2,0,0,1,-1,0,,9,4,
571,Roman Harper,CAR,32,SS,16,16,4,43,1,31,10,1,0,0,0,0,1.0,41,26,
572,Brandon Harris,TEN,24,,11,0,0,0,0,0,3,,,,,,,9,2,
573,Bryce Harris,NOR,25,,16,2,,,,,,,,,,,,1,0,
574,Chris Harris*,DEN,25,RCB,16,16,3,52,0,38,18,1,0,1,0,0,1.0,54,4,
575,Clark Harris,CIN,30,,16,0,,,,,,,,,,,,2,2,
576,David Harris,NYJ,30,RILB,16,16,0,0,0,0,1,2,0,0,0,0,5.5,72,52,
577,DuJuan Harris,GNB,26,,15,0,,,,,,,,,,,,1,0,
578,Dwayne Harris,DAL,27,,16,0,,,,,,0,4,1,0,0,,10,2,
579,Jeremy Harris,JAX,23,,6,0,,,,,,,,,,,,3,2,
580,Josh Harris,ATL,25,,16,0,,,,,,,,,,,,3,2,
581,Josh Harris,PIT,23,,5,0,,,,,,0,0,1,0,0,,,,
582,Mike Harris,2TM,25,,5,5,1,11,0,11,2,,,,,,1.0,20,1,
583,Mike Harris,MIN,26,rt,12,5,,,,,,0,0,1,0,0,,1,0,
584,Ryan Harris,KAN,29,RT,16,15,,,,,,,,,,,,3,0,
585,Shelby Harris,OAK,23,,1,0,,,,,,,,,,,,1,1,
586,Damon Harrison,NYJ,26,NT,16,16,,,,,,,,,,,,30,25,
587,James Harrison,PIT,36,,11,4,,,,,,,,,,,5.5,29,18,
588,Brian Hartline,MIA,28,WR,16,16,,,,,,,,,,,,1,0,
589,Percy Harvin,2TM,26,,13,12,,,,,,0,3,1,0,0,,2,0,
590,Jason Hatcher,WAS,32,RDE,13,13,0,0,0,0,1,0,0,1,0,0,5.5,16,10,
591,Steven Hauschka,SEA,29,,16,0,,,,,,0,0,1,0,0,,1,0,
592,A.J. Hawk,GNB,30,LILB,16,13,0,0,0,0,2,,,,,,0.5,54,40,
593,Andrew Hawkins,CLE,28,WR,15,15,,,,,,,,,,,,4,0,
594,Joe Hawley,ATL,26,,4,4,,,,,,,,,,,,1,0,
595,David Hawthorne,NOR,29,LILB,12,12,1,10,0,10,3,,,,,,3.0,52,31,
596,D.J. Hayden,OAK,24,LCB,10,8,1,-1,0,-1,10,,,,,,,42,5,
597,Nick Hayden,DAL,28,LDT,16,16,0,0,0,0,1,,,,,,,19,23,
598,Geno Hayes,JAX,27,LLB,16,11,,,,,,1,0,0,0,0,2.0,34,17,
599,William Hayes,STL,29,LDE,16,9,,,,,,1,0,1,6,0,4.0,33,9,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
600,Adam Hayward,WAS,30,,11,0,,,,,,,,,,,,8,4,
601,Casey Hayward,GNB,25,,16,1,3,113,1,82,8,0,0,2,49,1,,37,10,
602,Jeff Heath,DAL,23,,14,0,,,,,,,,,,,,26,1,
603,Cooper Helfet,SEA,25,,10,2,,,,,,1,0,0,0,0,,1,0,
604,Roy Helu,WAS,26,,14,0,,,,,,0,2,1,0,0,,3,0,
605,Junior Hemingway,KAN,26,,14,1,,,,,,,,,,,,5,0,
606,Seantrel Henderson,BUF,22,RT,16,16,,,,,,0,0,1,0,0,,,,
607,Will Herring,STL,31,,12,0,,,,,,,,,,,,4,0,
608,Dan Herron,IND,25,,16,3,,,,,,0,4,0,0,0,,6,2,
609,Robert Herron,TAM,22,,8,0,,,,,,,,,,,,1,0,
610,Mark Herzlich,NYG,27,LLB,15,8,0,0,0,0,2,0,0,1,1,0,1.0,35,17,
611,Devin Hester*,ATL,32,,16,1,,,,,,1,2,2,0,0,,1,0,
612,Ryan Hewitt,CIN,23,TE,16,11,,,,,,,,,,,,4,1,
613,Cameron Heyward,PIT,25,LDE,16,16,0,0,0,0,4,,,,,,7.5,35,20,
614,Darrius Heyward-Bey,PIT,27,,16,1,,,,,,1,1,0,0,0,,5,4,
615,Akiem Hicks,NOR,25,LDE,15,14,0,0,0,0,2,,,,,,2.0,27,15,
616,Dont'a Hightower,NWE,24,RLB/M,12,12,0,0,0,0,2,1,0,0,0,0,6.0,61,44,
617,Jeremy Hill,CIN,22,RB,16,8,,,,,,0,5,0,0,0,,5,0,
618,Jordan Hill,SEA,23,,13,0,1,8,0,8,4,0,0,3,0,0,5.5,15,4,
619,Josh Hill,NOR,24,,16,3,,,,,,,,,,,,9,2,
620,Sammie Lee Hill,TEN,28,NT,15,15,0,0,0,0,6,,,,,,3.0,26,7,
621,Shaun Hill,STL,34,QB,9,8,,,,,,0,7,4,-5,0,,0,1,
622,Will Hill,BAL,24,SS,10,8,1,44,1,44,6,,,,,,,34,13,
623,Peyton Hillis,NYG,28,,9,0,,,,,,,,,,,,4,2,
624,Ronnie Hillman,DEN,23,,8,4,,,,,,0,1,0,0,0,,1,0,
625,T.Y. Hilton*,IND,25,WR,15,15,,,,,,1,3,0,0,0,,1,0,
626,Anthony Hitchens,DAL,22,RLB,16,11,1,8,0,8,5,,,,,,,66,18,
627,Gerald Hodges,MIN,23,rlb,14,7,1,27,1,27,7,,,,,,0.5,50,15,
628,Chris Hogan,BUF,26,,16,2,,,,,,0,2,0,0,0,,0,1,
629,Trindon Holliday,3TM,28,,2,0,,,,,,0,1,1,0,0,,,,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
630,Andre Holmes,OAK,26,WR,16,13,,,,,,,,,,,,2,1,
631,Khaled Holmes,IND,24,,5,2,,,,,,0,0,1,0,0,,,,
632,Evander Hood,JAX,27,,16,0,,,,,,0,0,1,0,0,1.0,17,7,
633,DeAndre Hopkins,HOU,22,WR,16,16,,,,,,0,2,2,0,0,,1,0,
634,Wes Horton,CAR,24,RDE,16,15,0,0,0,0,1,2,0,0,0,0,3.0,13,16,
635,Jayron Hosley,NYG,24,,6,2,0,0,0,0,1,,,,,,,8,0,
636,Davon House,GNB,25,,13,4,1,0,0,0,10,1,0,0,0,0,,27,4,
637,Rob Housler,ARI,26,te,15,7,,,,,,0,1,0,0,0,,2,0,
638,Justin Houston*+,KAN,25,RDE,16,16,0,0,0,0,5,4,0,0,0,0,22.0,59,9,
639,Lamarr Houston,CHI,27,LDE,8,8,0,0,0,0,1,0,0,1,0,0,1.0,8,3,
640,Austin Howard,OAK,27,RG,16,16,,,,,,,,,,,,1,0,
641,Jaye Howard,KAN,26,LDE,16,10,0,0,0,0,1,,,,,,1.0,26,10,
642,Brian Hoyer,CLE,29,QB,14,13,,,,,,0,4,2,-10,0,,1,0,
643,Rodney Hudson,KAN,25,C,16,16,,,,,,,,,,,,1,0,
644,Josh Huff,PHI,23,,12,0,,,,,,0,1,1,0,0,,2,2,
645,Marqueston Huff,TEN,22,,14,1,1,23,1,23,2,,,,,,1.0,11,7,
646,Jerry Hughes,BUF,26,RDE,16,16,,,,,,3,0,1,18,1,10.0,36,18,
647,John Hughes,CLE,26,,5,3,,,,,,,,,,,,7,10,
648,Montori Hughes,IND,24,,12,1,0,0,0,0,1,0,0,2,0,0,,10,5,
649,Robert Hughes,ARI,25,,16,4,,,,,,0,0,1,0,0,,3,1,
650,Ramon Humber,NOR,27,lilb,15,6,0,0,0,0,1,,,,,,1.0,38,12,
651,Margus Hunt,CIN,27,,12,0,0,0,0,0,1,,,,,,1.0,5,4,
652,Justin Hunter,TEN,23,WR,12,8,,,,,,0,0,1,0,0,,2,0,
653,Demontre Hurst,CHI,23,,15,2,1,0,0,0,1,1,0,0,0,0,,30,10,
654,James Hurst,BAL,23,lt,16,5,,,,,,,,,,,,1,0,
655,Micah Hyde,GNB,24,DB,16,12,2,9,0,9,7,0,1,1,0,0,1.0,48,14,
656,James Ihedigbo,DET,31,SS,13,13,4,86,0,70,8,3,1,1,0,0,2.0,66,14,
657,Duke Ihenacho,WAS,25,,3,0,,,,,,,,,,,,0,1,
658,George Iloka,CIN,24,SS,16,16,3,58,0,28,10,,,,,,,50,29,
659,Mark Ingram*,NOR,25,RB,13,9,,,,,,0,3,0,0,0,,1,0,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
660,Melvin Ingram,SDG,25,LOLB,9,9,0,0,0,0,2,2,0,1,0,0,4.0,21,8,
661,Bruce Irvin,SEA,27,LLB,15,13,2,84,2,49,3,1,0,0,0,0,6.5,28,15,
662,Nate Irving,DEN,26,MLB,8,8,,,,,,,,,,,1.0,26,20,1
663,Kemal Ishmael,ATL,22,SS,16,10,4,37,1,23,6,1,0,1,18,0,,66,30,
664,Mike Iupati*,SFO,27,LG,15,15,,,,,,,,,,,,2,0,
665,Chris Ivory,NYJ,26,RB,16,10,,,,,,0,2,1,0,0,,,,
666,Andrew Jackson,IND,22,,13,0,,,,,,,,,,,1.0,10,3,
667,Asa Jackson,BAL,25,lcb,7,6,0,0,0,0,3,,,,,,,22,6,
668,D'Qwell Jackson*,IND,31,MLB,16,16,0,0,0,0,3,1,0,4,35,1,4.0,96,71,
669,DeSean Jackson,WAS,28,WR,15,13,,,,,,,,,,,,2,0,
670,Fred Jackson,BUF,33,RB,14,9,,,,,,0,5,4,0,0,,,,
671,Kareem Jackson,HOU,26,LCB,13,13,3,97,0,65,9,,,,,,,48,9,
672,Malik Jackson,DEN,24,,16,3,0,0,0,0,4,1,0,0,0,0,3.0,34,12,
673,Tyson Jackson,ATL,28,RDT,16,16,0,0,0,0,3,,,,,,,9,13,
674,Vincent Jackson,TAM,31,WR,16,16,,,,,,0,1,0,0,0,,4,0,
675,Ben Jacobs,CAR,26,,16,0,0,0,0,0,1,,,,,,,5,4,
676,Nic Jacobs,JAX,23,,13,4,,,,,,,,,,,,1,0,
677,Ja'Wuan James,MIA,22,RT/LT,16,16,,,,,,0,0,1,0,0,,1,0,
678,Tim Jamison,HOU,28,,13,1,,,,,,0,0,1,0,0,1.5,12,7,
679,Sebastian Janikowski,OAK,36,,16,0,,,,,,,,,,,,1,0,
680,J.J. Jansen,CAR,28,,16,0,,,,,,,,,,,,1,0,
681,Jaiquawn Jarrett,NYJ,25,ss,14,5,2,10,0,9,2,1,0,1,2,0,1.5,27,14,
682,Ricky Jean-Francois,IND,28,RT,16,13,0,0,0,0,6,0,0,1,0,0,3.0,18,16,
683,Jackson Jeffcoat,WAS,23,,3,1,1,9,0,9,1,,,,,,1.0,2,3,
684,Tony Jefferson,ARI,22,SS,16,8,0,0,0,0,1,1,0,0,0,0,1.0,72,12,
685,Alshon Jeffery,CHI,24,WR,16,16,,,,,,0,1,0,0,0,,1,0,
686,Cullen Jenkins,NYG,33,LDT,12,11,0,0,0,0,1,0,0,1,0,0,1.0,8,8,
687,Janoris Jenkins,STL,26,RCB,14,13,2,124,2,99,5,2,0,0,0,0,,55,4,
688,Jarvis Jenkins,WAS,26,LDE,16,14,,,,,,,,,,,,18,10,
689,Jelani Jenkins,MIA,22,RLB,15,14,0,0,0,0,1,2,0,0,0,0,3.5,83,27,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
690,John Jenkins,NOR,25,,12,4,0,0,0,0,1,,,,,,1.0,20,10,
691,Malcolm Jenkins,PHI,27,FS,16,16,3,67,1,53,14,1,0,1,0,0,,63,16,
692,Mike Jenkins,TAM,29,,1,0,,,,,,,,,,,,1,0,
693,Greg Jennings,MIN,31,WR,16,13,,,,,,0,1,0,0,0,,3,0,
694,Rashad Jennings,NYG,29,RB,11,9,,,,,,0,1,0,0,0,,0,1,
695,Tim Jennings,CHI,31,LCB,16,16,0,0,0,0,7,1,0,1,17,0,,37,14,
696,Jerrel Jernigan,NYG,25,,2,1,,,,,,,,,,,,0,1,
697,Timmy Jernigan,BAL,22,,12,3,,,,,,,,,,,4.0,13,12,
698,Tony Jerod-Eddie,SFO,24,,16,2,,,,,,,,,,,,12,8,
699,John Jerry,NYG,28,RG,16,16,,,,,,0,0,1,0,0,,4,0,
700,Luke Joeckel,JAX,23,LT,16,16,,,,,,0,0,1,0,0,,2,0,
701,Andre Johnson,HOU,33,WR,15,15,,,,,,0,3,0,0,0,,4,0,
702,Anthony Johnson,MIA,21,,7,0,,,,,,0,0,1,0,0,,1,1,
703,Austin Johnson,NOR,25,,7,1,,,,,,,,,,,,3,0,
704,Calvin Johnson*,DET,29,WR,13,13,,,,,,,,,,,,2,0,
705,Charles Johnson,MIN,25,wr,12,6,,,,,,0,1,0,0,0,,1,0,
706,Charles Johnson,CAR,28,LDE,16,16,0,0,0,0,2,3,0,1,0,0,8.5,31,15,
707,Chris Johnson,NYJ,29,rb,16,6,,,,,,0,1,0,0,0,,1,0,
708,Damaris Johnson,HOU,25,WR,16,8,,,,,,0,2,1,0,0,,2,0,
709,Derrick Johnson,KAN,32,,1,1,,,,,,,,,,,,4,0,
710,Dontae Johnson,SFO,23,,16,3,1,20,1,20,6,,,,,,,26,8,
711,George Johnson,DET,27,,16,0,0,0,0,0,1,0,0,1,0,0,6.0,23,6,
712,James-Michael Johnson,KAN,25,RILB,16,9,0,0,0,0,1,1,0,0,0,0,,42,9,
713,Jarret Johnson,SDG,33,ROLB,15,14,0,0,0,0,1,1,0,0,0,0,1.0,35,15,
714,Jeron Johnson,SEA,26,,15,1,0,0,0,0,1,0,0,1,0,0,,13,7,
715,Lane Johnson,PHI,24,RT,12,12,,,,,,,,,,,,1,2,
716,Leonard Johnson,TAM,24,,16,3,1,-6,0,0,4,3,0,0,0,0,,30,16,
717,Michael Johnson,TAM,27,RDE,14,13,,,,,,2,0,0,0,0,4.0,20,7,
718,Nico Johnson,2TM,24,,11,2,,,,,,0,0,1,0,0,,8,8,
719,Randell Johnson,BUF,23,,5,0,,,,,,0,0,1,0,0,,1,0,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
720,Rashad Johnson,ARI,28,FS,16,16,4,146,2,88,8,0,0,2,30,0,1.0,82,19,
721,Steve Johnson,SFO,28,,13,1,,,,,,,,,,,,1,0,
722,Steven Johnson,DEN,26,mlb,14,7,,,,,,0,0,1,0,0,0.5,27,12,
723,Tom Johnson,MIN,30,,16,2,,,,,,1,0,0,0,0,6.5,14,8,
724,Trumaine Johnson,STL,24,lcb,9,5,3,69,1,43,6,,,,,,,33,3,
725,Will Johnson,PIT,25,rb,16,5,,,,,,,,,,,,3,1,
726,Abry Jones,JAX,23,,16,2,0,0,0,0,1,1,0,0,0,0,3.0,23,16,
727,Adam Jones+,CIN,31,,16,3,3,23,0,12,12,0,1,1,0,0,,55,14,
728,Arthur Jones,IND,28,,9,3,,,,,,1,0,0,0,0,1.5,19,15,
729,Ben Jones,HOU,25,LG,16,16,,,,,,,,,,,,3,0,
730,Brad Jones,GNB,28,,13,1,0,0,0,0,1,1,0,0,0,0,,16,7,
731,Chandler Jones,NWE,24,RDE/RDT,10,9,0,0,0,0,2,2,0,1,0,0,6.0,37,14,
732,Chris Jones,DAL,25,,16,0,,,,,,,,,,,,1,0,
733,Chris Jones,NWE,24,,15,11,,,,,,0,0,1,0,0,3.0,16,11,
734,Christian Jones,CHI,23,mlb,16,5,0,0,0,0,1,0,0,1,2,0,2.0,41,28,
735,Colin Jones,CAR,27,,16,2,0,0,0,0,4,1,0,0,0,0,1.0,25,10,
736,DaQuan Jones,TEN,23,,7,1,,,,,,1,0,0,0,0,1.0,5,3,
737,Datone Jones,GNB,24,,13,3,1,18,0,18,2,0,0,1,0,0,1.5,19,8,
738,Don Jones,2TM,24,,13,0,,,,,,,,,,,,11,0,
739,Jacoby Jones,BAL,30,,16,0,,,,,,0,4,2,0,0,,,,
740,James Jones,OAK,30,WR,16,10,,,,,,0,3,1,0,0,,,,
741,Jarvis Jones,PIT,25,,7,3,,,,,,1,0,0,0,0,2.0,9,9,
742,Jason Jones,DET,28,RDE,16,16,0,0,0,0,3,2,0,0,0,0,5.0,17,7,
743,Julio Jones*,ATL,25,WR,15,15,0,0,0,0,1,0,2,1,0,0,,3,0,
744,Reshad Jones,MIA,26,FS,12,12,3,62,0,50,7,1,1,0,0,0,1.0,70,10,
745,Maurice Jones-Drew,OAK,29,,12,1,,,,,,0,1,0,0,0,,2,0,
746,Akeem Jordan,WAS,29,,2,0,,,,,,,,,,,,0,1,
747,Cameron Jordan,NOR,25,RDE,16,16,1,6,0,6,5,0,0,1,0,0,7.5,31,19,
748,Dion Jordan,MIA,24,,10,1,0,0,0,0,1,,,,,,1.0,20,0,
749,Johnathan Joseph,HOU,30,RCB,16,16,2,85,1,60,11,2,0,2,73,0,,70,5,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
750,Linval Joseph,MIN,26,RDT,16,16,0,0,0,0,1,,,,,,3.0,29,19,
751,Lamarcus Joyner,STL,24,,10,1,0,0,0,0,2,,,,,,1.0,35,5,
752,Kyle Juszczyk,BAL,23,RB,16,14,,,,,,0,3,0,0,0,,4,4,
753,Colin Kaepernick,SFO,27,QB,16,16,,,,,,0,8,3,-6,0,,,,
754,Matt Kalil,MIN,25,LT,16,16,,,,,,,,,,,,1,0,
755,Ryan Kalil,CAR,29,C,16,16,,,,,,0,1,0,0,0,,4,1,
756,Frank Kearse,WAS,26,,15,0,,,,,,,,,,,3.0,12,3,
757,Jermaine Kearse,SEA,24,WR,15,14,,,,,,1,0,0,0,0,,3,0,
758,Brett Keisel,PIT,36,,12,4,1,16,0,16,5,,,,,,1.0,8,9,
759,Thomas Keiser,ARI,25,,3,1,0,0,0,0,1,,,,,,,1,1,
760,Jason Kelce*,PHI,27,C,12,12,,,,,,,,,,,,2,0,
761,Travis Kelce,KAN,25,TE,16,11,,,,,,0,4,1,0,1,,,,
762,Tommy Kelly,ARI,34,RDE,16,13,0,0,0,0,2,,,,,,1.0,23,14,
763,Lance Kendricks,STL,26,TE,16,14,,,,,,,,,,,,2,0,
764,Mychal Kendricks,PHI,24,LILB,12,11,0,0,0,0,3,3,0,0,0,0,4.0,62,21,
765,Devon Kennard,NYG,23,llb,12,6,0,0,0,0,1,2,0,0,0,0,4.5,36,7,
766,Jeremy Kerley,NYJ,26,wr,16,7,,,,,,0,1,0,0,0,,1,0,
767,Zach Kerr,IND,24,,12,0,0,0,0,0,1,1,0,0,0,0,3.0,11,5,
768,Ryan Kerrigan,WAS,26,LOLB,16,16,0,0,0,0,1,5,0,1,0,0,13.5,51,13,
769,Daniel Kilgore,SFO,27,c,7,7,,,,,,,,,,,,2,1,
770,David King,2TM,25,,3,0,,,,,,,,,,,1.0,1,0,
771,Marquette King,OAK,26,,16,0,,,,,,,,,,,,1,0,
772,Dre Kirkpatrick,CIN,25,,16,2,3,32,1,30,8,,,,,,,23,4,
773,Christian Kirksey,CLE,22,RILB,16,8,0,0,0,0,3,1,0,0,0,0,2.0,47,34,
774,Ishmaa'ily Kitchen,CLE,26,,12,3,,,,,,,,,,,,13,30,
775,Mathias Kiwanuka,NYG,31,LDE,11,11,,,,,,2,0,0,0,0,2.5,20,8,
776,A.J. Klein,CAR,23,LLB,14,8,,,,,,1,0,0,0,0,,25,14,
777,Karl Klug,TEN,26,,16,0,,,,,,,,,,,2.0,18,5,
778,Terrance Knighton,DEN,28,RDT,16,16,0,0,0,0,3,,,,,,2.0,19,14,
779,Kyle Knox,NOR,25,,12,0,,,,,,,,,,,,1,2,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
780,Jordan Kovacs,2TM,24,,8,0,,,,,,,,,,,,6,1,
781,Paul Kruger,CLE,28,LOLB,16,15,0,0,0,0,4,4,0,1,0,0,11.0,36,17,
782,Luke Kuechly*+,CAR,23,MLB,16,16,1,0,0,0,13,1,0,1,0,0,3.0,107,64,
783,John Kuhn*+,GNB,32,,16,2,,,,,,,,,,,,1,0,
784,Markus Kuhn,NYG,28,,14,1,,,,,,0,0,1,26,1,1.0,10,9,
785,Eddie Lacy,GNB,24,RB,16,16,,,,,,0,3,1,0,0,,1,0,
786,Kenny Ladler,BUF,22,,2,0,,,,,,,,,,,,3,1,
787,L.P. Ladouceur*,DAL,33,,16,0,,,,,,,,,,,,0,1,
788,Brandon LaFell,NWE,28,WR,16,13,,,,,,0,1,0,0,0,,2,0,
789,Emmanuel Lamur,CIN,25,LLB,14,13,2,6,0,5,7,,,,,,,59,38,
790,Dawan Landry,NYJ,32,FS,16,14,0,0,0,0,1,,,,,,1.5,67,39,
791,Jarvis Landry,MIA,22,WR,16,11,,,,,,0,7,2,0,0,,4,0,
792,LaRon Landry,IND,30,fs,11,6,,,,,,,,,,,2.5,45,18,
793,Jeremy Lane,SEA,24,,7,1,0,0,0,0,4,1,0,0,0,0,,16,7,
794,T.J. Lang,GNB,27,RG,16,16,,,,,,0,0,1,0,0,,,,
795,Kendall Langford,STL,28,,16,4,,,,,,,,,,,1.0,17,8,
796,Spencer Lanning,CLE,26,,16,0,,,,,,0,0,1,0,0,,,,
797,Danny Lansanah,TAM,29,LLB,16,11,3,60,2,33,8,,,,,,1.5,61,20,
798,Ted Larsen,ARI,27,LG,16,16,,,,,,,,,,,,2,0,
799,DeDe Lattimore,CHI,23,,10,0,,,,,,,,,,,,2,1,
800,Jamari Lattimore,GNB,26,rilb,11,5,1,10,0,10,1,,,,,,,22,15,
801,James Laurinaitis,STL,28,MLB,16,16,0,0,0,0,3,0,0,2,17,0,3.5,81,28,
802,Shawn Lauvao,WAS,27,LG,15,15,,,,,,,,,,,,1,0,
803,Cordarro Law,SDG,26,,3,0,0,0,0,0,1,,,,,,1.0,8,1,
804,Cameron Lawrence,DAL,23,,16,0,,,,,,,,,,,1.0,8,8,
805,Demarcus Lawrence,DAL,22,,7,0,,,,,,1,1,2,0,0,,9,3,
806,Manny Lawson,BUF,30,,16,0,0,0,0,0,2,,,,,,1.5,16,4,
807,Nevin Lawson,DET,23,,2,0,,,,,,,,,,,,1,0,
808,Mike Leach,ARI,38,,16,0,,,,,,,,,,,,2,1,
809,Ronald Leary,DAL,26,LG,15,15,,,,,,,,,,,,3,0,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
